"ANSICODE","HYDROID","FULLNAME","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON"
NA,"1101751298932",NA,"H2030",0,1073,"+37.1346894","-80.4598221"
NA,"1101751299331",NA,"H2030",0,206,"+37.0422968","-80.5296171"
NA,"1101751299011",NA,"H2030",0,2079,"+37.0564490","-80.3298566"
NA,"1101751299058",NA,"H2030",0,402,"+37.1145743","-80.5224257"
NA,"1101751298905",NA,"H2030",0,749,"+37.0877962","-80.5347914"
NA,"1101751298986",NA,"H2030",0,1261,"+37.0840101","-80.4356811"
NA,"1101751299225",NA,"H2030",0,244,"+37.0988713","-80.4893800"
NA,"1101751299185",NA,"H2030",0,193,"+37.0927297","-80.5295314"
NA,"1101751299199",NA,"H2030",0,363,"+37.0962268","-80.5222864"
NA,"1101751299112",NA,"H2030",0,279,"+37.0784784","-80.4680901"
NA,"1101751299249",NA,"H2030",0,521,"+37.0773494","-80.4699218"
NA,"1101751299333",NA,"H2030",0,1038,"+37.0420097","-80.3836739"
NA,"1101751299186",NA,"H2030",0,577,"+37.0750238","-80.5180305"
NA,"1101751299091",NA,"H2030",0,542,"+37.0672533","-80.4600704"
NA,"1101751299008",NA,"H2030",0,193,"+37.0309480","-80.4960361"
NA,"1101751299312",NA,"H2030",0,495,"+37.0477588","-80.4954409"
NA,"1101751298895",NA,"H2030",0,145,"+37.0328572","-80.5291041"
NA,"1101751299337",NA,"H2030",0,198,"+36.9928192","-80.5367195"
NA,"1101751299486",NA,"H2030",0,968,"+37.0770851","-80.5433262"
NA,"1101751299458",NA,"H2030",0,755,"+37.0526484","-80.5271852"
NA,"1101751299089",NA,"H2030",0,123,"+37.2184408","-80.5877854"
NA,"1101751298878",NA,"H2030",0,1321,"+37.1888959","-80.5910604"
NA,"1101751299142",NA,"H2030",0,1089,"+37.2130403","-80.4845553"
NA,"1101751298967",NA,"H2030",0,926,"+37.2305914","-80.5512137"
NA,"1101751299081",NA,"H2030",0,1141,"+37.1882427","-80.5905468"
NA,"1101751298923",NA,"H2030",0,849,"+37.1893517","-80.5308679"
NA,"1101751299094",NA,"H2030",0,757,"+37.1843005","-80.5154618"
NA,"1101751298928",NA,"H2030",0,895,"+37.1819181","-80.5367757"
NA,"1101751298963",NA,"H2030",0,371,"+37.1838980","-80.5537051"
NA,"1101751299234",NA,"H2030",0,239,"+37.1792888","-80.5474504"
NA,"1101751298962",NA,"H2030",0,222,"+37.2174139","-80.5908870"
NA,"1101751299273",NA,"H2030",0,301,"+37.1952914","-80.5914213"
NA,"1101751299448","Pandapas Pond","H2030",0,22579,"+37.2812685","-80.4681423"
NA,"1101751299136",NA,"H2030",0,1576,"+37.2265919","-80.4515444"
NA,"1101751299402",NA,"H2030",0,132,"+37.2568525","-80.3983228"
NA,"1101751299180",NA,"H2030",0,257,"+37.2656180","-80.3883863"
NA,"1101751299370",NA,"H2030",0,93,"+37.2713940","-80.3863224"
NA,"1101751298889",NA,"H2030",0,90,"+37.2713384","-80.3899759"
NA,"1101751299363",NA,"H2030",0,328,"+37.2528459","-80.3431281"
NA,"1101751299298",NA,"H2030",0,110,"+37.2642690","-80.3896423"
NA,"1101751298855",NA,"H2030",0,351,"+37.2794207","-80.2995204"
NA,"1101751299206",NA,"H2030",0,1090,"+37.2829350","-80.3666431"
NA,"1101751299043",NA,"H2030",0,581,"+37.3197816","-80.3834604"
NA,"1101751299373",NA,"H2030",0,1041207,"+37.2372422","-80.2142203"
NA,"1101751299446",NA,"H2030",0,125,"+37.2707259","-80.3968915"
NA,"1101751299468",NA,"H2030",0,1476,"+37.1674743","-80.4074198"
NA,"1101751299361",NA,"H2030",0,586,"+37.1515053","-80.4229584"
NA,"1101751298930",NA,"H2030",0,893,"+37.2131832","-80.3614724"
NA,"1101751299004",NA,"H2030",0,334,"+37.1657215","-80.3808173"
NA,"1101751299509",NA,"H2030",0,1961,"+37.0949296","-80.2694966"
NA,"1101751299466",NA,"H2030",0,1017,"+37.1842567","-80.2289622"
NA,"1101751298856",NA,"H2030",0,368,"+37.1112787","-80.2772992"
NA,"1101751299196",NA,"H2030",0,98,"+37.1794647","-80.2537547"
NA,"1101751299122",NA,"H2030",0,978,"+37.1259564","-80.3523992"
NA,"1101751299129",NA,"H2030",0,567,"+37.2356635","-80.3014062"
NA,"1101751298953",NA,"H2030",0,155,"+37.1423132","-80.3464078"
NA,"1101751298872",NA,"H2030",0,631,"+37.1168877","-80.3763097"
NA,"1101751299171",NA,"H2030",0,803,"+37.1164287","-80.3643849"
NA,"1101751299382",NA,"H2030",0,30847,"+37.1221505","-80.3877521"
NA,"1101751299480",NA,"H2030",0,5349,"+37.2277393","-80.2991667"
NA,"1101751299449",NA,"H2030",0,2125,"+37.0773265","-80.4296232"
NA,"1101751299404",NA,"H2030",0,1346,"+37.0514507","-80.4823042"
NA,"1101751299471",NA,"H2030",0,785,"+37.0654462","-80.3959328"
NA,"1101751299328",NA,"H2030",0,730,"+37.0541834","-80.4903681"
NA,"1101751299487",NA,"H2030",0,67,"+37.1240757","-80.4542831"
NA,"1101751298990",NA,"H2030",0,865,"+37.0444028","-80.5177228"
NA,"1101751298904",NA,"H2030",0,857,"+37.0242126","-80.4757599"
NA,"1101751299140",NA,"H2030",0,131,"+37.0386010","-80.5545528"
NA,"1101751298901",NA,"H2030",0,2550,"+37.0616613","-80.4054610"
NA,"1101751299252",NA,"H2030",0,480,"+37.1402287","-80.5054402"
NA,"1101751299239",NA,"H2030",0,350,"+37.1026756","-80.4898724"
NA,"1101751298898",NA,"H2030",0,175,"+37.1216331","-80.4547479"
NA,"1101751298921",NA,"H2030",0,496,"+37.0398855","-80.4460084"
NA,"1101751299284",NA,"H2030",0,2305,"+37.0329892","-80.4092880"
NA,"1101751299160",NA,"H2030",0,323,"+37.0720609","-80.4734720"
NA,"1101751299262",NA,"H2030",0,220,"+37.0744746","-80.4777895"
NA,"1101751298937",NA,"H2030",0,897,"+37.1026589","-80.5210580"
NA,"1101751299281",NA,"H2030",0,231,"+37.1158828","-80.4540412"
NA,"1101751298866",NA,"H2030",0,1063,"+37.0868568","-80.4652270"
NA,"1101751299481",NA,"H2030",0,2726,"+37.0982817","-80.4542040"
NA,"1101751299439",NA,"H2030",0,15124,"+36.9987420","-80.5385775"
NA,"1101751298957",NA,"H2030",0,1033,"+37.0252014","-80.4298648"
NA,"1101751298896",NA,"H2030",0,1304,"+37.1146774","-80.4786573"
NA,"1101751298966",NA,"H2030",0,248,"+37.0989791","-80.5438746"
NA,"1101751298940",NA,"H2030",0,494,"+37.0039834","-80.5279879"
NA,"1101751299288",NA,"H2030",0,414,"+37.1162880","-80.4344796"
NA,"1101751298894",NA,"H2030",0,296,"+37.0095011","-80.5504311"
NA,"1101751298961",NA,"H2030",0,323,"+37.1034411","-80.5478551"
NA,"1101751298948",NA,"H2030",0,215,"+37.0907450","-80.5056283"
NA,"1101751299110",NA,"H2030",0,555,"+37.0802885","-80.4494620"
NA,"1101751298987",NA,"H2030",0,205,"+37.0906366","-80.5364640"
NA,"1101751299015",NA,"H2030",0,173,"+37.0899383","-80.5340354"
NA,"1101751299257",NA,"H2030",0,966,"+37.0473548","-80.4912939"
NA,"1101751299245",NA,"H2030",0,1154,"+37.0872063","-80.4476581"
NA,"1101751299095",NA,"H2030",0,708,"+37.1008811","-80.5465551"
NA,"1101751299085",NA,"H2030",0,312,"+37.1350732","-80.4684524"
NA,"1101751299051",NA,"H2030",0,307,"+37.0952293","-80.5266034"
NA,"1101751299068",NA,"H2030",0,294,"+37.0960248","-80.5304754"
NA,"1101751299156",NA,"H2030",0,154,"+37.1221735","-80.4349283"
NA,"1101751298943",NA,"H2030",0,1120,"+37.0932712","-80.4192790"
NA,"1101751299039",NA,"H2030",0,646,"+37.1377693","-80.4275671"
NA,"1101751298934",NA,"H2030",0,215,"+37.0780826","-80.5138601"
NA,"1101751299104",NA,"H2030",0,324,"+37.0798458","-80.4668218"
NA,"1101751299108",NA,"H2030",0,582,"+37.0434480","-80.4914336"
NA,"1101751299084",NA,"H2030",0,169,"+37.0192800","-80.3946352"
NA,"1101751299153",NA,"H2030",0,390,"+37.0850605","-80.5136934"
NA,"1101751299383",NA,"H2030",0,1000,"+37.1167746","-80.4494573"
NA,"1101751299506",NA,"H2030",0,3129,"+37.0673480","-80.4663192"
NA,"1101751299482",NA,"H2030",0,634,"+37.1266338","-80.4911392"
NA,"1101751299444",NA,"H2030",0,867,"+37.0681390","-80.3979575"
NA,"1101751299378",NA,"H2030",0,1913,"+37.2261655","-80.5931533"
NA,"1101751299063",NA,"H2030",0,937,"+37.1822053","-80.5292392"
NA,"1101751299107",NA,"H2030",0,123,"+37.2112679","-80.5026758"
NA,"1101751298876",NA,"H2030",0,121,"+37.1845544","-80.5163028"
NA,"1101751298914",NA,"H2030",0,407,"+37.1842358","-80.5160102"
NA,"1101751298968",NA,"H2030",0,772,"+37.1834629","-80.5159124"
NA,"1101751299327",NA,"H2030",0,176,"+37.2119667","-80.5558959"
NA,"1101751299193",NA,"H2030",0,730,"+37.2036514","-80.5777327"
NA,"1101751298995",NA,"H2030",0,509,"+37.2094999","-80.5779738"
NA,"1101751299183",NA,"H2030",0,286,"+37.2297723","-80.6086125"
NA,"1101751299024",NA,"H2030",0,132,"+37.1887141","-80.5905774"
NA,"1101751299521",NA,"H2030",0,182,"+37.2585514","-80.4261332"
NA,"1101751299519",NA,"H2030",0,982,"+37.2403833","-80.4427620"
NA,"1101751299002",NA,"H2030",0,4076,"+37.2197125","-80.4472144"
NA,"1101751299165",NA,"H2030",0,402,"+37.2330877","-80.4488304"
NA,"1101751299235",NA,"H2030",0,546,"+37.2406597","-80.4698829"
NA,"1101751299488",NA,"H2030",0,3880,"+37.2269594","-80.4276628"
NA,"1101751299460",NA,"H2030",0,2240,"+37.2432939","-80.4432502"
NA,"1101751298900",NA,"H2030",0,73,"+37.2769780","-80.3914963"
NA,"1101751299227",NA,"H2030",0,178,"+37.2661606","-80.3775156"
