County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Orange,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Page,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Patrick,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Petersburg,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Pittsylvania,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Poquoson,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Portsmouth,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Powhatan,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Prince Edward,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Prince George,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Prince William,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Pulaski,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Radford,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Rappahannock,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Richmond,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Richmond,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Roanoke,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Roanoke,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Rockbridge,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Rockingham,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Russell,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Salem,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Scott,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Shenandoah,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Smyth,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Southampton,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Spotsylvania,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Stafford,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Staunton,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Suffolk,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Surry,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Sussex,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Tazewell,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Virginia Beach,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Warren,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Washington,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Waynesboro,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Westmoreland,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Williamsburg,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Winchester,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Wise,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
Wythe,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
York,170.38,243.39,243.39,389.42,170.38,243.39,1460.35
