County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,1 Adult + 1 Child,2 Adults + 2 Children,1 Adult: 65+,2 Adults: 65+,
Portsmouth,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Powhatan,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Prince Edward,1040,1040,1240,1493.75,1040,1040,
Prince George,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Prince William,2570,2570,2892.5,3616.25,2570,2570,
Pulaski,1033.75,1033.75,1145,1562.5,1033.75,1033.75,
Radford,1210,1210,1538.75,2058.75,1210,1210,
Rappahannock,1536.25,1536.25,1701.25,2050,1536.25,1536.25,
Richmond,1007.5,1007.5,1320,1672.5,1007.5,1007.5,
Richmond,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Roanoke,1185,1185,1426.25,1996.25,1185,1185,
Roanoke,1185,1185,1426.25,1996.25,1185,1185,
Rockbridge,1015,1015,1123.75,1575,1015,1015,
Rockingham,1360,1360,1740,2353.75,1360,1360,
Russell,845,845,1063.75,1305,845,845,
Salem,1185,1185,1426.25,1996.25,1185,1185,
Scott,1030,1030,1303.75,1678.75,1030,1030,
Shenandoah,1020,1020,1338.75,1775,1020,1020,
Smyth,902.5,902.5,1063.75,1373.75,902.5,902.5,
Southampton,1112.5,1112.5,1458.75,1865,1112.5,1112.5,
Spotsylvania,2570,2570,2892.5,3616.25,2570,2570,
Stafford,2570,2570,2892.5,3616.25,2570,2570,
Staunton,1392.5,1392.5,1602.5,2245,1392.5,1392.5,
Suffolk,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Surry,861.25,861.25,1063.75,1490,861.25,861.25,
Sussex,1931.25,1931.25,2138.75,2707.5,1931.25,1931.25,
Tazewell,818.75,818.75,1063.75,1281.25,818.75,818.75,
Virginia Beach,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Warren,1236.25,1236.25,1622.5,2180,1236.25,1236.25,
Washington,1030,1030,1303.75,1678.75,1030,1030,
Waynesboro,1392.5,1392.5,1602.5,2245,1392.5,1392.5,
Westmoreland,1091.25,1091.25,1347.5,1888.75,1091.25,1091.25,
Williamsburg,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
Winchester,1566.25,1566.25,1961.25,2440,1566.25,1566.25,
Wise,826.25,826.25,1063.75,1408.75,826.25,826.25,
Wythe,823.75,823.75,1066.25,1346.25,823.75,823.75,
York,1853.75,1853.75,2120,2951.25,1853.75,1853.75,
