County,1 Adult (19-50),2 Adults (19-50),1 Adult + 1 Child (6-10),2 Adults + 2 Children (6-10),1 Adult (65+),2 Adults (65+),,,
Northumberland,471.51,1809.61,885.3,3720.41,545.92,2326.26,,,
Norton,384.78,1526.12,766.43,3232.6,466.67,2085.73,,,
Nottoway,390.06,1531.03,777.88,3239.09,473.71,2096.77,,,
Orange,471.07,1767.88,888.82,3697.7,552.96,2323.8,,,
Page,385.66,1580.12,824.1,3315.58,468.43,2144.63,,,
Patrick,374.21,1523.67,791.52,3185.93,440.69,1996.14,,,
Petersburg,604.47,2068.55,1004.61,3846.96,690.76,2656.36,,,
Pittsylvania,370.25,1537.17,775.24,3327.25,445.1,2057.5,,,
Poquoson,626.49,2153.22,1015.62,3987.57,705.73,2703.03,,,
Portsmouth,600.07,2078.36,1011.66,3942.14,679.76,2628.15,,,
Powhatan,618.56,2138.5,1029,3950.79,701.77,2713.41,,,
Prince Edward,422.2,1610.8,806.49,3370.04,512.9,2210.9,,,
Prince George,704.85,2394.98,1156.01,4237.42,787.62,2988.27,,,
Prince William,929.39,3069.95,1478.77,4920.14,1017.44,3735.07,,,
Pulaski,418.24,1576.44,786.68,3242.98,501.89,2138.5,,,
Radford,473.27,1720.02,838.63,3478.95,550.32,2248.94,,,
Rappahannock,542.4,1921.28,945.18,3812.35,622.08,2468.61,,,
Richmond,643.66,2263.67,1081.15,4148.73,730.83,2874.18,,,
Richmond,459.62,1774.02,872.53,3681.48,545.48,2355.71,,,
Roanoke,429.25,1645.16,835.11,3440.05,508.93,2191.27,,,
Roanoke,477.68,1848.88,903.79,3747.45,558.24,2398.66,,,
Rockbridge,394.46,1610.8,819.7,3316.88,455.22,2052.59,,,
Rockingham,450.38,1620.62,841.28,3516.55,532.27,2174.08,,,
Russell,380.82,1446.35,738.69,3195.01,459.62,1987.55,,,
Salem,479,1818.2,894.55,3678.23,565.73,2401.12,,,
Scott,374.21,1456.17,743.54,3156.11,449.06,1975.28,,,
Shenandoah,414.28,1654.98,849.2,3576.19,496.61,2213.36,,,
Smyth,361.01,1549.44,775.24,3223.53,434.09,2062.41,,,
Southampton,470.19,1675.84,869.89,3451.72,544.16,2187.58,,,
Spotsylvania,843.1,2797.68,1351.75,4643.02,931.59,3439.46,,,
Stafford,877.44,2911.78,1404.52,4765.24,962.41,3540.59,,,
Staunton,485.16,1751.93,884.86,3600.82,561.33,2275.94,,,
Suffolk,604.03,2100.45,1018.57,3974.59,678.88,2622.01,,,
Surry,425.72,1715.11,859.77,3682.56,511.58,2293.12,,,
Sussex,625.16,2171.63,1042.5,3999.47,704.85,2731.56,,,
Tazewell,373.77,1410.77,727.69,3128.88,438.49,1869.74,,,
Virginia Beach,683.72,2349.57,1139.45,4262.29,759.45,2896.22,,,
Warren,483.84,1762.97,886.18,3734.47,568.81,2336.08,,,
Washington,404.59,1570.3,780.08,3357.07,478.56,2082.04,,,
Waynesboro,478.56,1718.79,873.86,3548.96,563.09,2290.67,,,
Westmoreland,448.18,1675.84,839.95,3599.52,523.9,2197.4,,,
Williamsburg,637.05,2266.12,1056.61,4183.34,707.5,2775.64,,,
Winchester,607.99,2101.68,1009.02,4106.54,681.52,2617.1,,,
Wise,384.78,1526.12,766.43,3232.6,475.03,2131.13,,,
Wythe,387.86,1472.13,747.5,3235.2,460.94,1981.41,,,
York,700.89,2382.71,1129.02,4233.09,774.42,2915.67,,,
