County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,1 Adult 1 Child,2 Adults 2 Children,1 Adults 65+,2 Adults 65+,
Poquoson,655.06,1048.096,949.837,1375.626,556.801,917.084,
Portsmouth,581.73,930.768,843.5085,1221.633,494.4705,814.422,
Powhatan,650.17,1040.272,942.7465,1365.357,552.6445,910.238,
Prince Edward,549.96,879.936,797.442,1154.916,467.466,769.944,
Prince George,686.83,1098.928,995.9035,1442.343,583.8055,961.562,
Prince William,760.16,1216.256,1102.232,1596.336,646.136,1064.224,
Pulaski,554.84,887.744,804.518,1165.164,471.614,776.776,
Radford,596.4,954.24,864.78,1252.44,506.94,834.96,
Rappahannock,633.06,1012.896,917.937,1329.426,538.101,886.284,
Richmond,520.63,833.008,754.9135,1093.323,442.5355,728.882,
Richmond,618.4,989.44,896.68,1298.64,525.64,865.76,
Roanoke,545.07,872.112,790.3515,1144.647,463.3095,763.098,
Roanoke,589.06,942.496,854.137,1237.026,500.701,824.684,
Rockbridge,567.07,907.312,822.2515,1190.847,482.0095,793.898,
Rockingham,630.62,1008.992,914.399,1324.302,536.027,882.868,
Russell,589.06,942.496,854.137,1237.026,500.701,824.684,
Salem,554.84,887.744,804.518,1165.164,471.614,776.776,
Scott,567.07,907.312,822.2515,1190.847,482.0095,793.898,
Shenandoah,608.62,973.792,882.499,1278.102,517.327,852.068,
Smyth,562.18,899.488,815.161,1180.578,477.853,787.052,
Southampton,589.06,942.496,854.137,1237.026,500.701,824.684,
Spotsylvania,684.39,1095.024,992.3655,1437.219,581.7315,958.146,
Stafford,747.94,1196.704,1084.513,1570.674,635.749,1047.116,
Staunton,520.63,833.008,754.9135,1093.323,442.5355,728.882,
Suffolk,630.62,1008.992,914.399,1324.302,536.027,882.868,
Surry,581.73,930.768,843.5085,1221.633,494.4705,814.422,
Sussex,601.29,962.064,871.8705,1262.709,511.0965,841.806,
Tazewell,586.62,938.592,850.599,1231.902,498.627,821.268,
Virginia Beach,611.06,977.696,886.037,1283.226,519.401,855.484,
Warren,640.39,1024.624,928.5655,1344.819,544.3315,896.546,
Washington,579.29,926.864,839.9705,1216.509,492.3965,811.006,
Waynesboro,567.07,907.312,822.2515,1190.847,482.0095,793.898,
Westmoreland,564.62,903.392,818.699,1185.702,479.927,790.468,
Williamsburg,527.96,844.736,765.542,1108.716,448.766,739.144,
Winchester,584.18,934.688,847.061,1226.778,496.553,817.852,
Wise,569.51,911.216,825.7895,1195.971,484.0835,797.314,
Wythe,552.4,883.84,800.98,1160.04,469.54,773.36,
York,640.39,1024.624,928.5655,1344.819,544.3315,896.546,
