County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Rockingham,145.5,145.5,210,210,145.5,210,1066.5
Russell,145.5,145.5,210,210,145.5,210,1066.5
Salem,145.5,145.5,210,210,145.5,210,1066.5
Scott,145.5,145.5,210,210,145.5,210,1066.5
Shenandoah,145.5,145.5,210,210,145.5,210,1066.5
Smyth,145.5,145.5,210,210,145.5,210,1066.5
Southampton,145.5,145.5,210,210,145.5,210,1066.5
Spotsylvania,145.5,145.5,210,210,145.5,210,1066.5
Stafford,145.5,145.5,210,210,145.5,210,1066.5
Staunton,145.5,145.5,210,210,145.5,210,1066.5
Suffolk,145.5,145.5,210,210,145.5,210,1066.5
Surry,145.5,145.5,210,210,145.5,210,1066.5
Sussex,145.5,145.5,210,210,145.5,210,1066.5
Tazewell,145.5,145.5,210,210,145.5,210,1066.5
Virginia Beach,145.5,145.5,210,210,145.5,210,1066.5
Warren,145.5,145.5,210,210,145.5,210,1066.5
Washington,145.5,145.5,210,210,145.5,210,1066.5
Waynesboro,145.5,145.5,210,210,145.5,210,1066.5
Westmoreland,145.5,145.5,210,210,145.5,210,1066.5
Williamsburg,145.5,145.5,210,210,145.5,210,1066.5
Winchester,145.5,145.5,210,210,145.5,210,1066.5
Wise,145.5,145.5,210,210,145.5,210,1066.5
Wythe,145.5,145.5,210,210,145.5,210,1066.5
York,145.5,145.5,210,210,145.5,210,1066.5
