County,1 Adult (19-50),2 Adults (19-50),1 Adult + 1 Child (6-10),2 Adults + 2 Children (6-10),1 Adult (65+),2 Adults (65+),,
Newport News,359.514,1139.7265,612.2128,2062.9667,407.856,1447.5065,,
Norfolk,363.21,1157.948,633.0324,2111.1172,411.552,1463.847,,
Northampton,240.378,833.294,501.6668,1792.3063,280.53,1093.829,,
Northumberland,282.906,995.2855,548.886,1971.8173,327.552,1279.443,,
Norton,230.868,839.366,475.1866,1713.278,280.002,1147.1515,,
Nottoway,234.036,842.0665,482.2856,1716.7177,284.226,1153.2235,,
Orange,282.642,972.334,551.0684,1959.781,331.776,1278.09,,
Page,231.396,869.066,510.942,1757.2574,281.058,1179.5465,,
Patrick,224.526,838.0185,490.7424,1688.5429,264.414,1097.877,,
Petersburg,362.682,1137.7025,622.8582,2038.8888,414.456,1460.998,,
Pittsylvania,222.15,845.4435,480.6488,1763.4425,267.06,1131.625,,
Poquoson,375.894,1184.271,629.6844,2113.4121,423.438,1486.6665,,
Portsmouth,360.042,1143.098,627.2292,2089.3342,407.856,1445.4825,,
Powhatan,371.136,1176.175,637.98,2093.9187,421.062,1492.3755,,
Prince Edward,253.32,885.94,500.0238,1786.1212,307.74,1215.995,,
Prince George,422.91,1317.239,716.7262,2245.8326,472.572,1643.5485,,
Prince William,557.634,1688.4725,916.8374,2607.6742,610.464,2054.2885,,
Pulaski,250.944,867.042,487.7416,1718.7794,301.134,1176.175,,
Radford,283.962,946.011,519.9506,1843.8435,330.192,1236.917,,
Rappahannock,325.44,1056.704,586.0116,2020.5455,373.248,1357.7355,,
Richmond,386.196,1245.0185,670.313,2198.8269,438.498,1580.799,,
Richmond,275.772,975.711,540.9686,1951.1844,327.288,1295.6405,,
Roanoke,257.55,904.838,517.7682,1823.2265,305.358,1205.1985,,
Roanoke,286.608,1016.884,560.3498,1986.1485,334.944,1319.263,,
Rockbridge,236.676,885.94,508.214,1757.9464,273.132,1128.9245,,
Rockingham,270.228,891.341,521.5936,1863.7715,319.362,1195.744,,
Russell,228.492,795.4925,457.9878,1693.3553,275.772,1093.1525,,
Salem,287.4,1000.01,554.621,1949.4619,339.438,1320.616,,
Scott,224.526,800.8935,460.9948,1672.7383,269.436,1086.404,,
Shenandoah,248.568,910.239,526.504,1895.3807,297.966,1217.348,,
Smyth,216.606,852.192,480.6488,1708.4709,260.454,1134.3255,,
Southampton,282.114,921.712,539.3318,1829.4116,326.496,1203.169,,
Spotsylvania,505.86,1538.724,838.085,2460.8006,558.954,1891.703,,
Stafford,526.464,1601.479,870.8024,2525.5772,577.446,1947.3245,,
Staunton,291.096,963.5615,548.6132,1908.4346,336.798,1251.767,,
Suffolk,362.418,1155.2475,631.5134,2106.5327,407.328,1442.1055,,
Surry,255.432,943.3105,533.0574,1951.7568,306.948,1261.216,,
Sussex,375.096,1194.3965,646.35,2119.7191,422.91,1502.358,,
Tazewell,224.262,775.9235,451.1678,1658.3064,263.094,1028.357,,
Virginia Beach,410.232,1292.2635,706.459,2259.0137,455.67,1592.921,,
Warren,290.304,969.6335,549.4316,1979.2691,341.286,1284.844,,
Washington,242.754,863.665,483.6496,1779.2471,287.136,1145.122,,
Waynesboro,287.136,945.3345,541.7932,1880.9488,337.854,1259.8685,,
Westmoreland,268.908,921.712,520.769,1907.7456,314.34,1208.57,,
Williamsburg,382.23,1246.366,655.0982,2217.1702,424.5,1526.602,,
Winchester,364.794,1155.924,625.5924,2176.4662,408.912,1439.405,,
Wise,230.868,839.366,475.1866,1713.278,285.018,1172.1215,,
Wythe,232.716,809.6715,463.45,1714.656,276.564,1089.7755,,
York,420.534,1310.4905,699.9924,2243.5377,464.652,1603.6185,,
