County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,1 Adult + 1 Child,2 Adults + 2 Children,1 Adult: 65+,2 Adults: 65+,
Patrick,771.1,771.1,936.1,1137.4,771.1,771.1,
Petersburg,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Pittsylvania,755.7,755.7,936.1,1281.5,755.7,755.7,
Poquoson,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Portsmouth,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Powhatan,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Prince Edward,915.2,915.2,1091.2,1314.5,915.2,915.2,
Prince George,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Prince William,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Pulaski,909.7,909.7,1007.6,1375,909.7,909.7,
Radford,1064.8,1064.8,1354.1,1811.7,1064.8,1064.8,
Rappahannock,1351.9,1351.9,1497.1,1804,1351.9,1351.9,
Richmond,886.6,886.6,1161.6,1471.8,886.6,886.6,
Richmond,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Roanoke,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8,
Roanoke,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8,
Rockbridge,893.2,893.2,988.9,1386,893.2,893.2,
Rockingham,1196.8,1196.8,1531.2,2071.3,1196.8,1196.8,
Russell,743.6,743.6,936.1,1148.4,743.6,743.6,
Salem,1042.8,1042.8,1255.1,1756.7,1042.8,1042.8,
Scott,906.4,906.4,1147.3,1477.3,906.4,906.4,
Shenandoah,897.6,897.6,1178.1,1562,897.6,897.6,
Smyth,794.2,794.2,936.1,1208.9,794.2,794.2,
Southampton,979,979,1283.7,1641.2,979,979,
Spotsylvania,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Stafford,2261.6,2261.6,2545.4,3182.3,2261.6,2261.6,
Staunton,1225.4,1225.4,1410.2,1975.6,1225.4,1225.4,
Suffolk,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Surry,757.9,757.9,936.1,1311.2,757.9,757.9,
Sussex,1699.5,1699.5,1882.1,2382.6,1699.5,1699.5,
Tazewell,720.5,720.5,936.1,1127.5,720.5,720.5,
Virginia Beach,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Warren,1087.9,1087.9,1427.8,1918.4,1087.9,1087.9,
Washington,906.4,906.4,1147.3,1477.3,906.4,906.4,
Waynesboro,1225.4,1225.4,1410.2,1975.6,1225.4,1225.4,
Westmoreland,960.3,960.3,1185.8,1662.1,960.3,960.3,
Williamsburg,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
Winchester,1378.3,1378.3,1725.9,2147.2,1378.3,1378.3,
Wise,727.1,727.1,936.1,1239.7,727.1,727.1,
Wythe,724.9,724.9,938.3,1184.7,724.9,724.9,
York,1631.3,1631.3,1865.6,2597.1,1631.3,1631.3,
