County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Orange,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Page,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Patrick,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Petersburg,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Pittsylvania,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Poquoson,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Portsmouth,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Powhatan,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Prince Edward,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Prince George,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Prince William,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Pulaski,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Radford,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Rappahannock,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Richmond,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Richmond,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Roanoke,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Roanoke,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Rockbridge,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Rockingham,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Russell,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Salem,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Scott,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Shenandoah,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Smyth,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Southampton,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Spotsylvania,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Stafford,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Staunton,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Suffolk,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Surry,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Sussex,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Tazewell,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Virginia Beach,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Warren,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Washington,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Waynesboro,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Westmoreland,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Williamsburg,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Winchester,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Wise,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Wythe,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
York,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
