County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Virginia,0,0,0,0,1885.68,3394.22,5279.9
Virginia Beach,0,0,0,0,1879.69,3383.44,5263.13
Warren,0,0,0,0,1747.99,3146.38,4894.37
Washington,0,0,0,0,1301.16,2342.09,3643.25
Waynesboro,0,0,0,0,1168.3,2102.94,3271.24
Westmoreland ,0,0,0,0,1238.81,2229.86,3468.67
Williamsburg,0,0,0,0,1455.21,2619.38,4074.59
Winchester ,0,0,0,0,1340,2412,3752
Wise,0,0,0,0,1051.72,1893.1,2944.82
Wythe,0,0,0,0,1147.46,2065.43,3212.89
York,0,0,0,0,2245.35,4041.63,6286.98
